gbifid	datasetkey	species	scientificname	countrycode	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	day	month	year	basisofrecord	institutioncode	issue
86305603	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.978543	35.437414	1000	NA	NA	NA	14	5	1995	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305618	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.612283	35.516367	1000	NA	NA	NA	12	4	2000	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305620	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.618592	35.517454	1000	NA	NA	NA	12	4	2000	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305631	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.912633	35.75366	1000	NA	NA	NA	5	5	2000	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305638	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	PS	31.961506	35.350184	1000	NA	NA	NA	27	4	2000	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES"
86305640	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	PS	31.984959	35.344931	1000	NA	NA	NA	27	4	2000	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES"
86305642	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	PS	32.068764	35.393776	1000	NA	NA	NA	27	4	2000	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES"
86305644	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	PS	32.066044	35.403301	1000	NA	NA	NA	27	4	2000	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES"
86305645	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	PS	32.089492	35.402293	1000	NA	NA	NA	27	4	2000	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES"
86305654	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.936287	35.703551	1000	NA	NA	NA	29	11	2000	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305659	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.928256	35.682123	1000	NA	NA	NA	29	1	2001	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305662	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.781127	35.407011	1000	NA	NA	NA	30	1	2001	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305666	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.936287	35.703551	1000	NA	NA	NA	13	3	2001	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305667	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.850462	35.743663	1000	NA	NA	NA	9	4	2001	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305671	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.418595	35.429586	1000	NA	NA	NA	5	8	1984	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305677	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	PS	32.050788	35.061258	1000	NA	NA	NA	15	4	1987	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES"
86305687	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	33.289669	35.718436	1000	NA	NA	NA	21	5	1988	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305704	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.930038	35.687478	1000	NA	NA	NA	25	3	1990	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305707	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.962682	35.637386	1000	NA	NA	NA	25	3	1990	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305708	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.950048	35.640532	1000	NA	NA	NA	25	3	1990	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305718	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.760364	35.727112	1000	NA	NA	NA	21	4	1990	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305719	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.903598	35.75788	1000	NA	NA	NA	20	4	1990	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305743	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.909952	35.748299	1000	NA	NA	NA	12	5	1992	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305757	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.904551	35.746128	1000	NA	NA	NA	19	4	1993	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305758	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.906364	35.744002	1000	NA	NA	NA	4	5	1993	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305763	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.907266	35.744007	1000	NA	NA	NA	5	5	1994	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305766	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.903668	35.741848	1000	NA	NA	NA	7	7	1994	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305772	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.907266	35.744007	1000	NA	NA	NA	18	8	1994	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305773	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.907266	35.744007	1000	NA	NA	NA	6	10	1994	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305785	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	31.747781	35.067004	1000	NA	NA	NA	2	5	1994	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305816	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.909952	35.748299	1000	NA	NA	NA	24	3	1996	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305826	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.928231	35.688538	1000	NA	NA	NA	25	4	1996	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305827	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.936287	35.703551	1000	NA	NA	NA	8	5	1996	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305830	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.928231	35.688538	1000	NA	NA	NA	9	5	1996	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305832	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.928231	35.688538	1000	NA	NA	NA	29	5	1996	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305843	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.930034	35.688548	1000	NA	NA	NA	28	4	1996	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305846	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.930034	35.688548	1000	NA	NA	NA	5	5	1996	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305852	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.926469	35.677837	1000	NA	NA	NA	19	4	1996	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305855	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.930034	35.688548	1000	NA	NA	NA	28	4	1998	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305861	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.926469	35.677837	1000	NA	NA	NA	19	4	1996	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305865	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.461873	35.432884	1000	NA	NA	NA	17	7	1996	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86305869	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.456443	35.443506	1000	NA	NA	NA	17	7	1996	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306144	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.909952	35.748299	1000	NA	NA	NA	10	6	1997	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306145	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.907266	35.744007	1000	NA	NA	NA	12	6	1997	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306211	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.716252	35.374865	1000	NA	NA	NA	2	6	1997	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306213	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.715337	35.384463	1000	NA	NA	NA	28	5	1997	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306224	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.900062	35.741826	1000	NA	NA	NA	2	11	1998	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306299	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.912633	35.75366	1000	NA	NA	NA	22	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306301	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.928231	35.688538	1000	NA	NA	NA	14	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306302	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.936287	35.703551	1000	NA	NA	NA	14	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306316	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.907266	35.744007	1000	NA	NA	NA	10	5	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306318	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.936287	35.703551	1000	NA	NA	NA	18	5	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306319	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.928231	35.688538	1000	NA	NA	NA	7	11	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306327	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.489847	35.421251	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306329	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.489847	35.421251	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306330	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.489847	35.421251	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306333	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.489847	35.421251	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306335	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.489847	35.421251	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306337	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.489847	35.421251	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306342	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.489847	35.421251	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306345	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.489847	35.421251	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306347	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.511527	35.39789	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306348	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.511527	35.39789	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306351	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.511527	35.39789	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306352	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.511527	35.39789	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306353	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.511527	35.39789	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306354	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.511527	35.39789	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306355	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.511527	35.39789	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306357	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.511527	35.39789	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86306359	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.511527	35.39789	1000	NA	NA	NA	11	4	1999	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
